case_id,BERT_topic_1. Summary of the impact,BERT_proba_1. Summary of the impact,BERT_topic_2. Underpinning research,BERT_proba_2. Underpinning research,BERT_topic_4. Details of the impact,BERT_proba_4. Details of the impact
95c1638e-3cc5-4efb-9e3c-f1c64862c2e7,-1,0.02703326519526212,-1,0.008706969154799378,0,0.07160453509498647
66cf0dd6-b7b5-4c8c-b6d7-46c0d440327b,-1,0.35364681777011,-1,0.09994376701331996,-1,0.04758631344025235
4c4ca9f6-4aaa-4a9f-b317-3c6ec89e39e4,12,0.5080332226193487,34,0.054231420263291696,11,1.0
9ae98944-f9b3-48a9-81bd-778d8716860a,12,0.0245072908122964,-1,0.01058165316892564,1,0.0849717879740985
8683d219-0009-4ef5-94c6-394800b81094,-1,0.02258395068461938,44,1.0,2,0.15593343052661243
73dbc3bb-1e89-40d3-bb77-8a51e505297e,1,0.055131489479804216,-1,0.07485666479898932,-1,0.06013176028011409
b0cc817d-6c01-47db-ac53-ab369de00cb9,1,0.05305025991314025,-1,0.07297749758978954,-1,0.07268394791565042
ca73bba6-6f7a-420e-a802-d4ae6e5ae610,8,1.0,6,0.5228450341650634,-1,0.04062312094816057
eb97036f-d2c9-426f-b47e-a5d7a5540c02,19,0.2498037800433107,3,0.1699105754423984,1,0.27398909152584955
dc566dca-0212-4073-8eca-53a4aaf7385c,47,1.0,12,0.17713591838229428,9,0.5582495887923757
11ed772d-1c8e-444f-8d78-ef3c8a3f8374,-1,0.03546400098941061,-1,0.13254992615188302,63,1.0
76865506-3810-4118-bdff-d032adedee42,7,0.07645526820596853,-1,0.015241979826262955,-1,0.004625820520830197
e684b230-f53d-4bfd-be15-319ba3dfd9b3,-1,0.014408559322117246,-1,0.0620495150534556,-1,0.044047040291529636
dcd83434-243a-4fba-946d-ea6ae7c78a08,37,0.6034936749032115,47,1.0,11,1.0
acee75c2-a004-41d8-b1ab-6539d2fdba59,-1,0.02932266019524788,-1,0.05867095885953301,1,0.19221583293692499
0b44de58-6b72-46db-b8f7-a7deedb64dde,26,0.24657615876451436,-1,0.020329794458055772,19,1.0
cc8c5369-343d-4238-ad8c-c94d5d6c4bd2,47,0.4897116578348149,12,1.0,9,0.45790746173399594
e719ce9c-79c9-4630-9b0f-7c83f0eb5fd5,0,0.08307686778357608,3,0.12531531434337978,-1,0.09190953523027161
51533bcb-1259-4e2d-8b20-7fc97ca3aea4,35,0.17400741053177443,5,0.14948020918259597,-1,0.11148987346727486
66a299d1-025f-4949-a466-6e30478023ac,-1,0.05126766614296268,17,0.44815647946037857,20,0.21743177059631233
b257ceca-c133-4bb7-9a5c-394f1223ed10,0,0.25349032997161525,0,0.15050951518731015,0,0.32562318632712095
5c6ed1f9-399e-4a8e-817e-f54ddca594db,-1,0.29832204617762,-1,0.08077924681024966,-1,0.2496867289530584
034093db-799d-4994-a26f-ed4391bdce3a,-1,0.013266575806156788,6,0.026046151840335846,-1,0.044659686075007136
54a26ffe-7a12-4e66-bb68-a1f2e35ae05e,12,0.030269750159253768,-1,0.011250464402855861,-1,0.025211522915772236
32b3fc45-7b52-453a-9e87-174be984ef7b,4,0.21187435937290736,2,0.4657671630649835,2,0.5050695847777239
3cde462c-74cb-44c7-b60b-73ab3139d955,-1,0.04563750466822726,-1,0.037511113641149896,-1,0.03652799108957678
bfc8c081-b972-485d-a9d3-6eab0cefd6ca,19,0.07914497707763431,-1,0.011760463269990949,-1,0.03617637528934703
a1483589-8654-4882-9c20-fd7ea428b399,-1,0.013110942889610564,1,0.030809423909756876,-1,0.035718855027818595
d2ae9358-f1ca-4fdb-9db2-f67e923f0fc2,-1,0.038942696451963715,1,0.1998684034738285,-1,0.022403004603383615
cbb82082-5a2c-40be-a26d-059a483573d2,-1,0.017601526045311254,-1,0.08756390622852912,32,1.0
50651d08-7946-4aac-b25e-523707b728d6,31,0.34544872778837976,-1,0.13219060382756326,-1,0.013368597206329194
adc2f565-f3f3-4eed-8374-13a2f1132ec0,0,1.0,23,0.026006325411344417,27,0.41059684352433035
2c7280d1-899c-449b-9667-07c9f58d512a,41,1.0,19,0.1509932601490516,45,1.0
4847f97b-9913-4ebb-82ec-1cdd8f6ea6ea,27,1.0,38,0.14018896336997588,29,0.4074577612376975
defb2569-8a65-45e6-8852-b3ef6b857db1,46,0.12560361627554995,40,1.0,-1,0.00931303059932567
83bbd8a0-1ea8-48b1-8668-78b5115afe46,-1,0.03843534529623721,3,0.16753633982766372,1,0.46707218327475547
adcff1c6-5631-426f-88d9-c53239752e4c,-1,0.0967502389156626,-1,0.021338039660603325,-1,0.0171288074025226
e5fe80d2-1622-4109-8816-cd4ea9c8996e,-1,0.008855992789914594,-1,0.01604293532001914,54,0.2521084627361048
78814c74-a20a-4998-adbe-27cdeb2d4b0a,-1,0.018747202615337025,30,0.10466985640272064,65,1.0
7b9846d5-68b5-45ff-a961-f46a7040c047,1,0.03652735087604447,-1,0.07314825332691154,-1,0.054897618855055265
45f72870-cc98-4631-876e-56688e26c7b2,-1,0.12244722456522586,-1,0.10256141949535184,45,1.0
407180c5-2c92-4c3b-9a4b-63b0eaefd871,-1,0.05408526716237886,13,0.07088997864724694,-1,0.06764519787897146
6ee45471-fb24-4d7d-a678-779fa2b16760,-1,0.008739675148770885,-1,0.11586995941823248,1,0.10840047036192237
94926fc6-279c-4956-aad2-c5081bb564f4,9,0.15474548952879308,4,1.0,-1,0.04527413461890436
387247a9-632a-4eb5-8f10-0d70f5761d2f,-1,0.1383316092736371,40,1.0,-1,0.0193162860123504
bd1ae131-2066-4d0e-bb5c-10da8da9accc,49,0.10120464191206235,42,1.0,57,0.05280987049628507
8a33d50d-b4a7-4cae-8e08-9858822e608a,-1,0.03757698609164086,-1,0.05636829501083294,3,0.10356860544818382
