topic_top1,prob_top1,topic_top2,prob_top2,topic_top3,prob_top3,topic_top4,prob_top4,topic_top5,prob_top5,case_id
64,1.0,60,1.6323222067004763e-306,53,1.4019279542522524e-306,61,3.797894126205967e-307,0,3.056443196777579e-307,4c4ca9f6-4aaa-4a9f-b317-3c6ec89e39e4
75,0.1365123562171477,80,0.04826541752743432,95,0.035166880664379646,93,0.032095521101701135,90,0.028398762527495746,9ae98944-f9b3-48a9-81bd-778d8716860a
50,0.7156748344970124,52,0.025019120776310837,44,0.006964220465348027,20,0.006456843538495703,25,0.006218542707380052,8683d219-0009-4ef5-94c6-394800b81094
1,0.07573564925860095,31,0.029708530787229917,11,0.026312091129506485,57,0.021426512182671206,13,0.01892935608597294,73dbc3bb-1e89-40d3-bb77-8a51e505297e
1,0.06958457766305347,31,0.02881908297286838,11,0.02536920127894563,57,0.02079688127426002,13,0.018462196388878173,b0cc817d-6c01-47db-ac53-ab369de00cb9
7,1.0,52,2.463594008686821e-307,64,2.3273192901955754e-307,20,2.236472039896081e-307,62,2.2292416052916197e-307,ca73bba6-6f7a-420e-a802-d4ae6e5ae610
0,0.22160736486128518,48,0.036158143960469936,61,0.03345828830811495,60,0.024666503024485625,5,0.024485113426015486,eb97036f-d2c9-426f-b47e-a5d7a5540c02
14,1.0,62,4.853274728278251e-307,18,2.3362250036555906e-307,10,1.8954194456788413e-307,25,1.7937084471196946e-307,dc566dca-0212-4073-8eca-53a4aaf7385c
41,0.06720208648098197,70,0.03380810084328781,26,0.03206174531210016,22,0.017419510217304878,18,0.01669288551241798,11ed772d-1c8e-444f-8d78-ef3c8a3f8374
95,1.0,79,1.8497839886490235e-307,80,1.4860552625860707e-307,90,1.479137177276944e-307,75,1.2057376012617262e-307,76865506-3810-4118-bdff-d032adedee42
4,1.0,45,3.4943130603582798e-307,58,3.1583807396179803e-307,55,3.094564348246423e-307,28,2.5166931411119826e-307,e684b230-f53d-4bfd-be15-319ba3dfd9b3
53,0.6654037032413367,64,0.0314202540514102,60,0.01805344011756557,61,0.008085422102717031,0,0.006749409257276119,dcd83434-243a-4fba-946d-ea6ae7c78a08
93,0.0525344359144151,80,0.049894206801682287,75,0.049708519011010824,90,0.038588752432050594,86,0.037522894208870665,acee75c2-a004-41d8-b1ab-6539d2fdba59
29,1.0,10,3.038550781404512e-307,15,3.0349015157945514e-307,63,2.6004475863863905e-307,22,2.0298126279330307e-307,0b44de58-6b72-46db-b8f7-a7deedb64dde
14,1.0,62,4.679703652614273e-307,18,2.3736302679494144e-307,10,1.9239002049031915e-307,25,1.8349484255832468e-307,cc8c5369-343d-4238-ad8c-c94d5d6c4bd2
14,0.01774496316748677,62,0.011114664958988314,18,0.004918981998286486,10,0.004596106110015194,63,0.0036575700420057138,e719ce9c-79c9-4630-9b0f-7c83f0eb5fd5
6,0.07340430778294241,33,0.02694582428829639,40,0.024332928323958582,38,0.016283129965291306,65,0.014840914010795679,51533bcb-1259-4e2d-8b20-7fc97ca3aea4
15,0.12781677691612753,29,0.017172045373914736,47,0.012815914780000893,10,0.012519541757556428,63,0.010382246065955458,66a299d1-025f-4949-a466-6e30478023ac
72,0.4463060934447891,83,0.055049195257926266,78,0.031263857957530845,87,0.02928012803300583,85,0.0212233871361794,b257ceca-c133-4bb7-9a5c-394f1223ed10
73,1.0,91,1.538882639723907e-307,76,9.956212755051157e-308,88,9.434716971867139e-308,92,6.071123511318034e-308,5c6ed1f9-399e-4a8e-817e-f54ddca594db
7,0.014681353269442426,0,0.013975537362435354,48,0.011800832806479243,5,0.009270352831310395,20,0.0085814341086919,034093db-799d-4994-a26f-ed4391bdce3a
75,0.7234741299508135,80,0.019502545442239616,95,0.018021221916476246,85,0.017563747735152492,93,0.016740389993255438,54a26ffe-7a12-4e66-bb68-a1f2e35ae05e
2,0.6847976473169912,53,0.010967086266775613,64,0.010576920190954419,60,0.010450325261445731,61,0.009225712941976914,32b3fc45-7b52-453a-9e87-174be984ef7b
82,0.05988741916348517,87,0.03873749981717018,85,0.036022426595616205,71,0.024425125848873304,94,0.022078132730605275,3cde462c-74cb-44c7-b60b-73ab3139d955
0,0.08787205535231127,48,0.055369367738137276,5,0.035198755809691826,61,0.030809104785081396,7,0.026998811758274933,bfc8c081-b972-485d-a9d3-6eab0cefd6ca
76,0.36971683644838804,73,0.037196624535876445,92,0.034589950228094746,88,0.029354213947996595,91,0.027598009028322698,a1483589-8654-4882-9c20-fd7ea428b399
3,0.030573923357686612,27,0.01844799442942668,67,0.01702498269547879,36,0.01383703733144642,51,0.013444822915826138,d2ae9358-f1ca-4fdb-9db2-f67e923f0fc2
