s1_flesch_score,s2_flesch_score,s3_flesch_score,s4_flesch_score,s5_flesch_score,flesch_score,REF impact case study identifier
25.16,35.41,38.32,44.54,35.57,42.51,3c7455b1-fa9d-485a-95bb-b5f03fdbebdf
13.78,33.24,47.59,35.61,49.21,32.73,e428c1c5-adec-4854-99f9-979990f873d8
48.54,44.48,61.63,33.51,34.73,39.06,263f606e-4a22-454e-aafe-c7e49684500b
29.55,38.01,54.73,44.54,9.65,30.46,fb2d6d92-6d15-4718-a8ff-149f0c930c5e
27.56,45.39,62.38,43.66,2.55,38.86,acf7f54c-5a12-4baf-b06a-17de2029c7ef
29.89,30.43,46.78,49.75,96.69,50.97,6f4f7e27-8831-445b-a5c0-757ac30259c9
-27.16,39.57,42.82,34.09,8.92,37.54,5fd48568-3d77-488c-a5fb-cb86a2d92e4a
34.29,33.68,58.08,55.78,-44.28,44.17,f53d3f58-b2c6-4214-8a56-169611585a19
21.13,17.78,54.63,30.3,25.56,24.58,c8438c43-480c-4fa6-a194-60da061ed2f5
29.99,28.67,48.91,28.91,47.79,37.74,ce20b3bf-e520-45f6-ac6b-9ed99e0430a3
16.59,20.21,43.9,32.57,33.41,33.14,7aa2aecf-506f-4eab-ad7b-cd55bf04a015
16.86,35.98,51.24,38.86,41.26,35.17,5ac746b7-47df-45c1-bc09-add69f4b51af
28.17,23.87,64.57,41.7,-2.3,35.47,f19f3b7d-387d-4772-b230-aaa652022490
9.08,32.57,51.95,26.95,31.89,32.22,84c22370-2b37-4845-b356-befbd4530dec
14.63,19.74,48.4,22.38,39.29,31.41,00bfb266-a463-477a-abf8-8b9c7abda28c
26.85,34.97,56.55,43.66,43.32,40.38,7d4ab0b9-7bb7-4d40-86ae-98de3228876a
-15.63,9.32,43.8,8.0,12.49,13.68,a65c23f1-3408-47fd-a46f-06ec0e6a973c
-58.12,36.63,42.58,46.4,9.25,25.9,e23104c4-67ea-4a10-9827-d8b5e63492f0
44.68,25.12,49.11,44.07,-30.72,28.88,bf1f1625-5048-4720-b8d9-c46f1f7983c2
26.74,24.0,27.72,39.81,-36.64,33.38,34689624-7171-4340-a65b-58e5bcdfbd66
-80.11,41.33,59.3,27.69,25.63,32.26,b680f754-4086-4249-9972-dc53060ae23b
26.85,30.03,43.09,36.93,43.73,38.55,c07d245a-5230-42a9-bcc8-e51d951077e6
3.87,9.96,32.49,34.8,51.14,29.59,07ad9039-30d8-4c4c-996c-f67011eddd7d
22.14,31.85,26.88,38.59,54.69,42.51,20b05631-e7be-402b-9f19-a90d81fa2141
-19.89,22.95,39.63,31.21,25.86,24.68,5de6083e-e20d-437e-9b38-2f65dfd07305
18.89,11.28,44.81,24.31,45.42,31.01,1355afaf-91ed-4608-8a2a-1effb9cebbe7
17.68,21.13,52.46,33.58,3.09,31.72,3af60773-e2a5-4a92-bc5e-52a51165d249
22.95,26.2,35.54,40.48,37.4,34.36,993ff972-bdfd-4e6d-8c05-693e287482a6
31.82,15.1,39.23,28.2,14.12,30.5,d1fb88c7-a5f5-4565-99e3-59be6939b395
32.87,38.45,31.11,38.15,45.93,41.9,4480c31e-9796-4980-8b81-ffed6f3e2af1
1.97,15.85,61.53,44.17,22.27,41.09,6154c9cb-c16e-4743-be0e-740b1b402c00
-6.73,19.74,56.76,21.77,36.66,27.45,b8671e7f-c4cb-4c52-8391-aa384ca00c91
29.52,27.35,53.98,26.24,19.43,24.98,c7560132-3f52-4217-87e6-a30cd42d2068
37.71,33.04,51.85,30.4,10.06,34.76,0d68e858-cf6b-48b0-9300-0e6ea5dec249
31.21,28.47,46.54,37.13,-34.99,34.86,6b11ce53-56f4-48e7-b31c-fe2cf9c8ef0a
-27.33,32.94,62.04,35.51,17.6,39.97,c636c991-210f-4d12-adeb-0ac31ea5eb74
18.45,21.67,52.26,37.64,36.08,32.33,6fce1a8f-dd09-4c52-a560-8a6df24beb19
2.48,22.65,44.61,31.55,19.23,33.04,a51c427b-4046-4caa-adb5-5a3f33cbd1e6
10.27,33.78,56.01,37.34,45.01,42.41,56746660-5c43-4be3-a8b6-93c8d5d1f158
-2.1,26.95,54.18,26.24,43.69,25.59,28f650b9-00b2-46bc-ae8a-5fa2f4b3b8c9
18.02,43.12,44.24,34.6,33.71,40.79,4330b869-fb3a-432d-bba2-03e6c2604c98
18.59,29.59,62.24,27.45,-14.72,25.8,32b2768f-4e39-4af3-9bd3-6eb1bce7e193
23.29,35.61,36.45,31.25,41.56,31.41,2bfa5460-341a-46b0-bbee-4d449ecb7bcd
37.94,21.77,33.0,33.78,53.21,36.02,d057969e-2817-4adc-a3ac-abc8fa9e7423
29.04,40.28,51.55,39.47,33.44,36.18,f04dbb81-c197-439f-9a9d-548a3f44851c
18.28,18.62,44.14,24.41,16.08,21.43,6dd2c006-f5c7-4b9a-8352-b2f6c7443df4
5.67,21.6,59.5,40.31,35.23,39.47,61ef2e16-78b6-4349-bf3f-89b698776f89
30.4,38.15,51.55,46.71,31.24,38.32,81dc0116-3bf9-407d-9ea0-28c888c43b90
20.86,39.97,51.75,33.17,15.34,39.37,3b6050dc-a186-4475-80a4-8ad4e5652ea0
21.06,38.96,38.25,25.22,30.87,37.94,2c052890-a651-46ea-b45b-505a23635f53
40.79,48.64,56.86,36.12,62.95,44.64,4b4094d3-8c5d-4de7-9fa9-70aa5a33d40b
26.17,27.66,51.75,33.54,23.22,20.48,ab201f22-79f9-4352-ae66-4d78adc7a008
20.92,34.39,63.46,28.61,33.1,31.51,9cd197c0-3d8e-4369-9e99-e3d3951cf9ec
42.72,34.15,38.62,38.86,6.84,31.41,ce59c5c2-a710-427d-94dd-69592eec74ec
4.18,18.99,19.71,27.66,-13.27,20.52,8bc688bb-032c-44bc-9908-9e01b30bc663
12.43,20.25,44.1,29.62,9.05,27.76,9474b2f5-dfc8-4c26-8a0b-b12c13908443
2.11,19.1,38.69,24.82,8.64,24.98,8bad4599-c9e0-45c2-ad4f-0fa521afc53b
21.74,38.55,42.68,33.38,13.85,31.31,c3c10581-8e68-4003-9c66-0d5f7da894c2
17.88,24.27,55.4,33.04,-84.03,21.4,d912512a-7ea4-4f54-afa1-9e5823e70fdb
29.14,39.57,61.53,32.26,21.87,33.95,35857ffc-04da-44a2-b6a5-61047245cbfb
20.11,38.25,46.84,35.31,36.05,40.69,6741718c-c2d2-4eec-be26-9beff8b97c8c
27.76,32.83,37.6,30.3,32.09,33.04,32d126f5-74dd-44a7-91a6-bd88896b6fb7
20.21,11.89,45.01,26.34,17.71,25.8,8507551b-77bd-4370-998f-ca9f103c2819
17.81,39.97,62.64,47.01,-55.5,41.09,51edfee7-6819-4d76-a09c-c649fe6ee7a1
9.08,19.23,37.81,37.64,27.93,31.41,b9008c87-2c63-44e3-a276-25e3fac08aae
41.23,22.58,54.29,21.47,1.97,28.17,da4448ce-bb16-4561-87c8-9aca821d0477
-4.83,14.77,45.05,24.82,37.91,16.83,1cdd95d0-070a-4af9-9c1e-4489d060c037
17.3,27.76,43.19,33.99,-10.02,30.5,c10043a8-3e57-4347-ae0f-a79460b10846
12.74,24.71,52.56,38.15,-36.47,30.4,9ff700be-fbad-489b-be5f-4cd4166f9aba
23.29,29.79,34.42,26.44,-23.96,30.7,d2866bc8-70f8-4edc-b8b3-30c9ced4fdb2
-0.78,16.36,55.3,32.06,-19.8,23.87,a6a577a2-ecf4-45c5-b583-675810182cfc
-13.29,33.28,34.42,33.58,44.91,29.89,4dfae673-f2ae-4796-9e9d-b14b97514bd4
38.86,27.25,54.69,31.85,-5.15,33.44,f2519a65-6700-421c-b284-36ac8375751c
26.34,23.05,52.05,50.36,24.34,35.37,c3f7fb61-4db4-43d4-b94f-5edbbd372ab2
17.37,32.77,45.09,30.03,5.59,19.1,b69e1425-f19d-4aa5-85b8-5ce2c7894ef0
6.17,15.54,44.41,18.59,25.49,24.37,ba5578c3-bb71-4cde-acf9-bb49da4c3423
28.91,34.9,47.62,32.46,-4.19,36.02,36d707ce-245f-41ec-b5c1-82334f90e684
-22.09,27.15,57.57,24.92,4.15,27.56,3bb41326-8bda-428c-9b3c-9c5ce3f87caa
-16.5,49.45,61.63,25.36,13.28,35.31,eefef9bf-c15f-4ed8-8f21-ae89231a8a13
42.24,34.7,55.0,35.81,21.43,38.66,d57816d4-8cb6-404d-9d88-3e57eb7d0bb6
29.59,24.41,52.39,18.12,-42.89,23.9,205b0c3c-9db4-46b6-9e7c-060e89f4f03b
-7.03,13.62,36.55,23.29,33.44,27.15,8c27ffd2-c993-43fd-9c77-af40e1188b3f
35.78,28.98,41.77,35.14,22.92,38.05,efcb7278-6f44-44fe-82c4-fb7af28a0f84
36.66,28.37,42.07,44.37,50.43,40.48,89c16c08-6277-416d-b673-75d98cbe916d
0.08,18.42,39.84,22.82,46.13,26.64,fc595b4b-369a-4976-b9e8-4aef19020502
29.18,16.62,26.47,31.72,21.29,17.74,5e39e22a-02bb-4452-857a-99be515b16a7
-7.03,20.86,53.51,18.52,-30.38,25.63,0d4467f4-44d9-4402-a063-268242298596
17.27,20.45,51.55,24.14,44.58,26.85,2cb44256-ce53-4e49-bff7-084eafa646f7
41.29,21.06,44.75,32.87,23.12,30.7,06b81fa2-c75a-4ec9-b681-4c20fd8f900e
19.33,33.68,40.45,37.74,54.08,34.15,e95437b6-60c3-4d3b-8024-9c03e8901c25
21.06,23.19,47.28,33.17,20.21,28.77,8b7de844-3de8-4afd-ae83-a5c8d339fbe0
-13.29,18.49,44.61,28.43,31.65,20.58,f93cd083-e0bc-4668-818c-e1b87b532db7
-15.12,11.99,36.69,14.87,41.8,24.11,32df69a0-8f2f-43eb-9497-9de23e2d53c8
27.9,44.48,44.91,34.22,18.69,36.12,29b63858-0d3c-4181-b842-2993d8dcfcab
38.18,37.34,45.35,38.79,-24.81,29.59,14cc1cf9-66d5-461c-b944-cb873e5ad6a7
30.2,19.91,45.93,38.25,54.79,36.08,69423cc4-4a6d-4621-ae04-ed5cc73fbc6c
34.26,40.69,55.4,34.29,46.06,42.0,11e7f42b-d4c4-45c2-948d-0249951f9bb3
29.69,14.02,43.73,33.07,24.03,29.79,43e9399c-27f3-4c6e-8e14-815d0ba614c5
15.51,36.73,40.85,48.84,-22.84,24.88,e5b6be56-8ba0-475c-b344-f12f8b13d3a8
18.32,30.84,39.13,33.48,19.74,32.53,72e5ec07-1bc0-4eb0-b023-046f5e3e63c4
14.29,27.96,29.62,36.42,22.98,18.86,fca39901-35ea-4bf6-8b6b-16a9b89d9a05
26.51,37.44,43.63,34.39,52.26,39.57,ffe9a452-9321-4f43-93e0-59a64d5e04d4
26.64,25.63,51.65,42.11,51.34,36.69,834eab83-645e-4dd4-a112-4fc804cd120f
10.91,16.56,42.48,36.52,36.05,31.21,873e1594-d399-4f75-a7be-e8de480e4b8d
30.46,14.7,53.58,28.91,60.82,40.08,f185c786-084d-45e1-a508-3675e2621ec4
15.34,20.01,56.45,25.63,8.53,26.3,eeed604e-a571-44c0-9401-0bd8937012b6
8.24,32.12,43.29,34.7,-16.17,31.92,14e3c79f-a97a-447f-8ca1-1ad1dc581e29
17.17,23.16,39.13,28.88,0.59,33.14,e5f73926-1a1c-40ab-b15b-c334c7497d64
21.26,44.95,58.38,37.94,61.46,37.1,908810be-2e1c-497f-a3ea-388fda44e518
2.48,42.31,66.33,43.87,37.81,41.29,fecf7dfe-eac8-43e5-8d82-b6278da849fd
-7.51,27.32,50.84,37.84,52.97,34.15,e8b5cb1c-b44f-4f7c-bd13-5b56aaa573e2
16.86,2.21,37.3,10.2,23.32,14.83,d5e882b1-6e80-46cd-9ecf-1683109e67a3
25.29,21.13,59.7,26.64,33.1,32.94,c413cc4e-541b-402e-baca-a47b625edbb3
-87.22,17.41,60.11,33.17,0.52,28.17,c4d9eca7-852f-4af8-a85b-1225e0d08094
15.95,31.41,44.51,31.11,32.43,32.94,dee48f8d-d9c8-479f-a06b-d7ce8f5c3e8c
23.29,40.18,50.33,47.93,46.37,41.19,7aaa7f2e-7d29-4cca-a0b1-539072edb8ad
-42.39,30.09,53.47,37.64,30.36,32.83,2c096d57-335b-41ed-9763-875d9a3808d2
26.54,32.26,51.34,26.68,7.86,27.45,c7c2f4ef-11c0-4c31-974d-6d11514c0552
48.33,32.12,48.4,39.16,8.64,34.46,8394f661-2fbf-421c-ad51-5aa071580b16
27.49,39.06,53.27,39.87,17.4,35.68,4f3853f4-9c81-4699-bccd-fd16e95f9bb7
8.88,35.61,51.44,25.56,36.83,38.25,d3bc444f-5858-4e1a-8358-6365dbc9daca
1.4,24.0,23.43,40.48,13.99,23.87,60ed8483-a044-40ed-8b3e-e46cf15150cc
39.53,31.41,56.11,40.18,4.17,37.0,d04e0f5a-d477-40e8-a1ca-c6433b6fe33d
40.58,29.59,53.98,36.32,51.34,42.72,5e55588f-26f0-4a91-939c-69c4540e90be
28.81,35.0,53.61,46.2,54.39,40.18,a0273cb4-1511-4e05-807a-362f2041c249
29.52,27.45,61.43,37.03,53.17,33.75,b95b1310-eb49-43ce-a8ab-1cb181cfb910
36.63,34.39,46.98,23.43,39.4,40.28,6ac8090e-2ddc-4a00-b555-8251067f9548
9.76,17.57,51.04,37.13,11.78,24.58,9ad3f191-10c3-4173-bb61-cb65c4b08e0c
-3.31,31.31,39.74,39.16,12.02,33.75,9dfd2679-e60f-4000-97a2-e6af05fcf6e7
20.31,33.07,64.41,31.75,38.62,39.67,dd84a20d-b099-4174-84eb-a19e9d5f227e
18.18,14.8,44.51,32.87,-4.44,26.61,e2ff65d4-e68d-4215-aa60-fa21e638f0f8
1.4,31.21,33.44,41.6,27.56,34.66,f5ac0a27-4e07-4afa-8a3d-f8d7569fe65c
24.37,26.03,44.81,35.1,36.08,33.95,b448facc-d705-4976-b9f0-2e03aa8dcfe2
-16.34,32.94,49.01,37.84,18.28,31.01,13d51601-6793-41bd-a920-54b35027b2b0
32.39,16.56,50.53,25.59,1.39,26.91,a885dd42-243a-443b-b3aa-e2addbaebcbd
27.52,21.13,27.32,38.66,-44.91,25.08,67af6d93-f78d-4599-92d6-fd67e022f6ff
11.28,-1.42,34.02,32.57,24.61,27.45,c6beb1f8-1c56-4717-89e3-a20f34b229a0
22.24,27.86,49.72,36.73,23.36,30.09,f16c9861-9252-4d0c-b36e-786525723da4
-0.78,6.98,51.75,44.75,29.01,30.77,1f797209-fc5d-4d9c-bc1a-5c85c5efd49d
36.89,27.45,35.54,44.37,17.4,35.68,be4dc570-b109-41f7-9824-0413bad27020
40.99,30.09,60.01,33.58,-16.14,17.34,36b1a093-3880-40fd-bdfc-0f08d906044c
12.3,18.39,35.44,28.71,12.29,29.08,37ad5eec-a62a-43ae-9d7a-90b42c595e4a
31.55,19.33,53.58,20.05,19.13,30.4,76df85d5-5868-46cb-bf8e-2315cf14e093
19.4,15.85,39.23,39.87,-151.5,29.28,514985eb-d11f-4b45-abb3-e79f75a8fbcc
19.06,19.1,55.64,28.37,53.17,32.02,bbb8bf70-cac7-4a1b-b828-b71f6a537aae
27.83,24.48,42.31,30.2,-18.51,24.58,6ff5f56b-4b8b-45a4-aba3-668fb4b1037e
36.97,23.29,53.98,31.35,37.37,39.47,dcff175b-6fed-412c-bd11-0385e3f90e4f
15.65,25.59,50.43,21.43,-89.78,26.61,2e45315f-657f-47e2-9f54-6c4144a30f9b
20.05,22.58,52.05,37.98,36.96,33.65,f91dbcc9-d529-4311-b056-d0d56a3c8328
21.94,19.71,42.58,30.94,44.1,29.99,9ea19204-a27a-4b42-9446-7d173a419fd6
14.36,22.99,43.53,21.77,21.94,29.08,67c1fea8-dbab-4615-8d6f-b53eee0b4c0a
34.97,27.35,53.61,37.84,-13.81,32.02,331b5c1c-fd1d-4e24-a605-50671e2bb646
-4.63,23.66,46.64,38.35,45.42,34.36,a1c0b1af-1a9a-46b4-99c1-60a5eddb0b7a
18.22,-12.86,17.81,21.87,3.87,12.77,79391b86-2174-42be-9862-3ac8b3986a39
-11.77,15.65,43.19,21.06,17.71,27.76,aa226104-713f-4032-bdb2-715e03cea7b1
-11.4,22.58,49.31,25.56,43.19,30.2,a4fd5b3e-e88c-4074-957d-c7eab012bb8c
28.77,11.18,26.88,29.01,37.91,30.91,7d1d9f19-ac33-42f5-b797-918dc8208033
32.12,23.5,46.84,30.94,-28.35,31.72,630922d6-3d6e-41bd-aa41-55dfedef50ca
-8.53,15.85,31.34,26.03,32.9,24.88,1bd0923c-d77f-4d1d-8ac4-2d503a1703a2
17.68,21.33,53.98,43.93,22.17,38.11,3ce549c5-03cf-4336-8f64-98a95823289c
18.28,41.19,53.47,41.4,-10.42,36.08,8ff50b7f-e68b-457e-8e35-e4570281b1f1
28.03,23.16,36.55,24.71,-5.31,18.15,5f44703d-faea-4a0b-8d6e-ba31632fe671
27.66,29.08,50.43,30.94,40.14,31.41,8d849035-6ee4-4b74-a623-3534c95992b5
16.22,29.99,52.36,11.69,54.08,31.41,4f9241b5-640d-4b94-9ec0-1a358b222461
32.43,42.21,47.99,38.86,42.0,38.21,f0822612-14ca-4604-83e5-767e10c0122a
14.83,33.78,47.72,23.63,39.74,37.03,4f77bc84-6fb2-49f7-9858-abb080e5e8a7
14.09,10.13,43.69,22.79,11.88,25.19,d877c8d8-aa32-49b9-af05-6fd5ee188e7c
23.9,24.61,44.95,35.2,8.53,31.82,e7c7267d-1e16-4858-a493-e0fe7e013bb3
29.38,14.63,31.62,22.58,18.52,19.71,b1b3e6b4-c360-4455-b6de-5c7e0a840406
39.06,40.28,57.64,33.78,-47.93,39.87,26356c7e-3f46-4e91-8446-92e72ad21581
22.79,17.41,26.77,30.33,-25.08,17.47,02f01d4f-c75a-47a8-8da7-f2408d66c369
-4.63,17.98,51.44,29.59,7.73,34.56,bbcd43c2-5c9e-47c5-a53d-597c404a8da2
-4.03,21.02,45.56,22.18,30.06,21.74,b69fbd53-7379-4789-b713-98b18e904586
43.02,27.56,52.46,32.33,21.46,28.43,04d57810-e81c-47ee-ae72-998c2cc725f8
49.65,24.31,36.05,47.83,28.51,33.44,3f232f90-ef8d-4d71-983b-dafaab1f27de
22.95,37.84,50.84,33.99,43.8,36.79,5d746380-87e2-43da-a529-9a6bc42726b2
19.91,31.01,53.51,44.54,35.47,35.68,7dcb4169-ae4f-4963-9bcb-365c8e9c27a8
19.91,31.01,53.51,44.54,35.47,35.68,25e4f7d1-d01a-4074-ad55-cca94d995ee1
0.25,27.86,35.44,34.76,-74.15,26.71,5ff3bc47-b6ac-486a-87ff-5a8e59acc0d9
-19.21,15.14,44.71,35.71,35.74,31.51,2f9da07a-2d93-4a1e-9c77-18cd6e329d89
22.08,23.7,50.73,39.2,0.68,39.16,77906490-dc93-4c81-b245-999bf9ded8df
22.08,30.8,33.92,36.12,22.89,40.08,77809042-c80a-426f-be9f-f6ff37cff710
23.29,25.22,52.49,25.12,12.73,29.38,c0daedcb-5081-4e7b-b33f-c7e2259e298c
21.26,25.83,44.61,29.11,-3.15,27.66,1aaef78d-2d01-4aae-a20e-97078f8097a2
40.99,38.76,55.44,37.94,33.51,35.88,424c0630-7153-4fc9-ae25-5b0aa43ffa35
15.85,19.3,36.76,22.58,9.04,24.17,b840c34d-af5a-40a3-b676-e0549691b5f8
47.32,37.54,60.55,37.23,28.3,35.37,776b2f8d-1d2c-4ea1-b040-b5ed9002eecd
29.89,36.83,47.99,37.13,44.14,41.09,7a778be6-9130-4376-aa83-a237a2fe96fc
7.9,19.5,42.41,12.6,-3.79,20.72,20b03534-d934-46f8-b473-90e2219f00e1
-3.45,22.14,36.05,30.6,9.08,23.97,8f0b42e5-6059-4123-aef4-a21ef1cf320b
26.0,35.51,46.44,32.26,47.28,32.73,2107ca48-c2fa-4242-a834-41dcb39d276d
32.94,35.31,50.02,34.8,40.55,39.37,57a6e838-6c80-447b-913f-e9002faf5f51
17.44,17.07,38.82,37.94,-19.6,31.51,c222119d-21ec-4d23-995f-05cc8a065a6c
23.77,32.12,38.48,34.7,12.29,33.44,c8f30541-8d98-4751-b2fe-dcac5281eebe
30.2,22.68,34.46,44.58,44.24,31.82,4a70823a-74ec-4c65-afb6-c0a2a2d6ffa4
28.57,29.18,37.06,39.16,40.51,37.4,daba0669-287c-4c23-903b-203cfb26b0f3
4.34,16.19,26.95,34.19,19.67,26.64,1a32c9f2-1a67-44ec-8bbb-5e1e586dc8ea
33.78,21.47,44.54,33.07,30.87,36.02,f4f33140-25d5-44c8-b04c-8e32f2494f81
19.33,16.25,4.0,33.78,25.29,17.68,5d0f47da-4e0c-4a41-bb46-0f156491f46d
-8.05,29.52,55.0,27.69,36.32,28.17,07e4d12b-067d-4210-b8fa-5dff9cc09001
23.39,23.6,46.06,29.01,-73.34,25.93,239bfe17-0fde-4478-9336-bc9d7a649851
41.19,12.5,38.52,24.71,-3.08,24.58,6c6431fe-b715-4611-9b8a-b6d6cebbe7d6
-9.4,13.17,58.38,21.43,27.38,24.78,465610cc-57cc-4017-be34-0beb143d2923
23.7,30.94,30.4,30.23,27.69,31.35,ac123fbf-7251-49b0-8d71-30390bdefc71
8.74,6.47,45.72,26.64,-25.62,15.31,1890ba79-a580-4e26-9b6b-f6d6bb7ac657
-4.7,10.47,42.27,18.52,7.11,18.59,b7d57e2d-bb26-46f1-9b0e-f27408898007
5.16,19.5,44.81,21.87,-64.04,26.14,23db767e-3031-4556-bb80-753cf711bb51
18.28,28.06,55.5,40.08,24.98,34.66,8f6a3460-ba6a-4cda-b8c3-6c2ec7ac5830
27.45,39.16,40.45,36.83,-75.71,37.54,9b2fea55-98de-453f-bdc4-62acc1e5dce6
34.15,41.4,35.64,32.57,21.16,39.47,2d380047-7df8-4b69-87dc-eabc35e22e32
14.83,28.03,37.47,26.03,12.53,24.88,ceb56d37-8b1f-404f-9f9f-9ba1db3b7087
27.86,12.3,39.74,20.05,38.72,27.66,0584e613-743b-4c72-858b-f3b9b8b85761
28.27,28.77,50.73,31.85,-33.46,26.74,683a5fdd-a65f-4cf0-998e-a5fe194aef81
12.3,11.75,52.56,19.5,5.15,24.58,219e8f2a-1c2c-4418-b461-219cac89cdb2
19.4,10.06,36.49,38.39,17.0,33.28,27487243-0365-4df6-b515-2dfcc5a66844
36.02,15.17,34.52,29.42,28.64,28.06,bca4064e-f843-4f66-9386-df5cb7aaaca3
8.2,9.01,39.09,26.48,11.28,29.99,76af1b1d-5229-486e-b8a0-8de0c8a96275
24.41,19.1,61.02,45.29,8.84,41.19,efce8df6-8372-4a9c-8185-e253b4a3ef1d
16.36,25.42,57.67,24.92,50.73,30.5,360e19c1-7d12-4e34-8879-f565a43e2655
-20.57,29.89,46.33,23.7,40.35,33.95,7fa8db52-7eee-4218-9cdf-440d00b6d2dd
16.83,15.95,33.31,36.63,35.03,32.53,664d6f8d-ebf4-4416-a0c3-3cc9aeae1300
24.78,18.49,43.8,31.92,3.32,27.32,690019da-bce8-42d7-8ab0-f055919df783
32.83,23.87,44.3,38.55,12.6,28.43,9fa92671-5462-4a1f-9530-df356476ce0d
0.72,21.26,20.75,34.19,26.67,30.4,4007b957-2a19-4921-b8ac-e57a0697a91c
2.28,15.85,51.34,27.08,36.96,27.25,5e8b8b7d-5626-4b1e-a98e-aad296f94d7c
34.9,34.12,74.79,30.23,46.47,33.17,c3c24d55-56b5-47d8-b933-eccdb947c1e1
18.99,43.53,54.29,27.05,-5.45,27.72,9547d933-9c46-4fc4-be0c-ba7335fff31f
-28.69,18.69,45.86,24.71,-7.79,20.21,0d297ff4-5299-4669-a3e9-d64e8574e9d0
30.74,41.4,50.94,40.48,33.31,43.43,3d9f4e98-2afa-445e-b4ee-501cc6244320
40.72,33.07,57.67,46.81,54.93,47.83,276f53d8-78dc-4098-94bc-e9af24db41f0
17.17,32.83,59.4,38.86,16.49,33.75,223d1435-2d13-499d-8de9-346722e92b89
9.73,26.54,45.32,37.27,40.45,40.48,4511ff0b-d7a5-46b6-8cfc-70cbe1ee3e59
8.74,26.95,49.52,32.87,14.97,30.09,5a123126-e935-4893-abdb-f0195ad69ea7
26.07,25.9,30.36,41.5,-15.36,34.05,ceea7fc8-4e8d-41b6-8034-ad6152616e8e
6.78,8.77,35.54,30.8,35.98,25.49,a5f65669-780f-45c6-9cef-07a764547651
-17.18,28.06,37.37,36.02,36.49,32.94,d8915ef7-a3a8-4334-b383-518f9661db4f
37.34,21.74,47.49,29.22,-15.91,30.91,49bbd69d-38d9-4b7d-9a89-13bb938ec843
15.24,10.23,40.85,26.98,-50.34,25.02,a32e0366-89ec-4370-9068-6e2bfab14e38
27.79,23.39,54.63,35.31,44.0,37.74,960d0d97-c060-41f5-bd0a-2300e04cdf0f
1.47,39.91,43.83,41.33,30.03,37.94,09f49471-744f-4a29-8e0a-d358df44a279
24.11,30.23,42.98,44.98,36.28,38.66,42cd690b-c7cd-4cf7-b876-758ad24780e3
4.14,35.1,63.15,33.07,37.37,42.31,2e65db71-f2db-4aaa-8023-795bc612c8ca
-1.28,30.3,29.62,37.13,40.04,34.66,478a16da-8281-4766-ae1f-944beef49715
7.19,36.42,43.09,31.21,-11.58,25.59,a175a7e3-7320-4877-a38c-e502747d2307
15.34,20.25,59.3,40.52,16.18,38.76,ff0f372f-0f5e-4c0c-abb6-af3bc0ec3d47
-12.08,26.0,43.8,38.45,17.37,33.44,8897a560-f0b0-4a65-9111-a444be8600a0
-31.56,31.62,49.41,34.09,0.99,33.44,fdc57869-1efe-47f0-8270-3e839cb5fba8
17.88,23.16,43.9,27.76,33.92,32.22,22a20aaa-0e90-42fd-b613-562ef681a3ea
27.25,26.88,66.03,32.67,45.56,37.94,d2084762-c6dc-4798-a56e-c74595a38979
3.77,15.75,32.8,29.89,24.27,22.95,3fcb16c5-f2a2-46ab-92f6-f3426eaf9373
0.05,40.48,52.87,32.67,23.77,38.66,52a7bab2-1b52-4947-94d9-d483ac169c49
19.84,39.91,56.76,35.51,26.57,37.94,568da097-37d3-405c-a07b-3c0230d7c667
20.99,22.34,45.72,36.42,24.37,31.82,44b44d23-5cd2-46bd-9fbf-d4e9d6b335d0
16.66,29.48,58.48,34.19,-55.4,24.17,92f48410-50b6-425f-a78b-60b131a5476b
7.53,36.02,43.39,34.8,22.41,31.72,876780cd-fc26-467b-96bb-9e4673f99757
36.22,39.67,33.92,41.53,45.83,41.4,149f0189-62a6-40b8-bc64-85608d98f475
22.58,29.69,51.04,27.05,54.59,32.83,ea31ad5f-b7dc-4a1b-97c4-57aa861e5aef
45.86,44.64,45.52,43.63,54.29,46.67,6de5cda2-fcbc-4016-b3d2-f54570f767cd
7.69,43.12,44.61,39.16,-30.32,35.68,2f75df89-3b5a-4124-b6bb-d03b514c98dd
-7.37,27.29,37.3,28.61,3.77,15.54,9107429f-2a73-49a8-80c2-a28ac826f38e
17.07,31.82,42.68,39.97,15.68,19.87,65ab77a0-d5be-4ecf-8c6a-ff6ef58b87ce
18.69,25.73,43.09,26.88,38.32,30.09,4c501a23-909b-4a32-91c2-9f4c5c02b5d1
19.03,35.31,54.79,29.52,23.77,29.79,7bfe53a0-bb65-4a93-98fa-6fc3d9f4cd94
13.07,11.75,50.84,40.99,6.84,25.19,e2c8251d-1f50-48ff-b18d-a073c58aff6a
27.86,12.84,55.74,16.96,43.63,28.57,f2b2d122-c0c0-4c9e-b506-a7a96a09013f
12.6,31.82,43.29,31.85,38.72,33.04,e49a0e2c-161d-4a97-bb0b-2e6595fe54a4
33.04,28.17,47.25,36.83,-75.71,41.4,0b22335e-7ba4-4cae-bd12-b8feaf86b13b
33.44,28.51,43.22,45.69,15.88,38.66,636a842b-5213-4249-96e8-12053a8732a8
31.25,15.75,49.72,31.35,54.49,28.47,ce2088bd-ff1e-4f72-96bd-b10d714cff20
36.83,27.86,44.0,39.06,7.18,35.57,ec123ac1-e4c0-45b5-99b9-2ea08b212561
