id,ics_table_id,country,countries_specific_extracted,countries_union_extracted,countries_region_extracted,countries_global_extracted
713,124,BFA,False,True,False,False
714,124,BGD,False,True,False,False
715,124,BGR,False,True,False,False
716,124,BHR,False,True,False,False
717,124,BHS,False,True,False,False
718,124,BIH,False,True,False,False
719,124,BLR,False,True,False,False
720,124,BLZ,False,True,False,False
721,124,BOL,False,True,False,False
722,124,BRA,False,True,False,False
723,124,BRB,False,True,False,False
724,124,BRN,False,True,False,False
725,124,BTN,False,True,False,False
726,124,BWA,False,True,False,False
727,124,CAF,False,True,False,False
728,124,CAN,False,True,False,False
729,124,CHE,False,True,False,False
730,124,CHL,False,True,False,False
731,124,CHN,False,True,False,False
732,124,CIV,False,True,False,False
733,124,CMR,False,True,False,False
734,124,COD,False,True,False,False
735,124,COG,False,True,False,False
736,124,COL,False,True,False,False
737,124,COM,False,True,False,False
738,124,CPV,False,True,False,False
739,124,CRI,False,True,False,False
740,124,CUB,False,True,False,False
741,124,CYP,False,True,False,False
742,124,CZE,False,True,False,False
743,124,DEU,False,True,False,False
744,124,DJI,False,True,False,False
745,124,DMA,False,True,False,False
746,124,DNK,False,True,False,False
747,124,DOM,False,True,False,False
748,124,DZA,False,True,False,False
749,124,ECU,False,True,False,False
750,124,EGY,False,True,False,False
751,124,ERI,False,True,False,False
752,124,ESP,False,True,False,False
753,124,EST,False,True,False,False
754,124,ETH,False,True,False,False
755,124,FIN,False,True,False,False
756,124,FJI,False,True,False,False
757,124,FRA,False,True,False,False
758,124,FSM,False,True,False,False
759,124,GAB,False,True,False,False
760,124,GBR,True,True,False,False
761,124,GEO,False,True,False,False
762,124,GHA,False,True,False,False
763,124,GIN,False,True,False,False
764,124,GMB,False,True,False,False
765,124,GNB,False,True,False,False
766,124,GNQ,False,True,False,False
767,124,GRC,False,True,False,False
768,124,GRD,False,True,False,False
769,124,GTM,False,True,False,False
770,124,GUY,False,True,False,False
771,124,HND,False,True,False,False
772,124,HRV,False,True,False,False
773,124,HTI,False,True,False,False
774,124,HUN,False,True,False,False
775,124,IDN,False,True,False,False
776,124,IND,False,True,False,False
777,124,IRL,False,True,False,False
778,124,IRN,False,True,False,False
779,124,IRQ,False,True,False,False
780,124,ISL,False,True,False,False
781,124,ISR,False,True,False,False
782,124,ITA,False,True,False,False
783,124,JAM,False,True,False,False
784,124,JOR,False,True,False,False
785,124,JPN,False,True,False,False
786,124,KAZ,False,True,False,False
787,124,KEN,False,True,False,False
788,124,KGZ,False,True,False,False
789,124,KHM,False,True,False,False
790,124,KIR,False,True,False,False
791,124,KNA,False,True,False,False
792,124,KOR,False,True,False,False
793,124,KWT,False,True,False,False
794,124,LAO,False,True,False,False
795,124,LBN,False,True,False,False
796,124,LBR,False,True,False,False
797,124,LBY,False,True,False,False
798,124,LCA,False,True,False,False
799,124,LIE,False,True,False,False
800,124,LKA,False,True,False,False
801,124,LSO,False,True,False,False
802,124,LTU,False,True,False,False
803,124,LUX,False,True,False,False
804,124,LVA,False,True,False,False
805,124,MAR,False,True,False,False
806,124,MCO,False,True,False,False
807,124,MDA,False,True,False,False
808,124,MDG,False,True,False,False
809,124,MDV,False,True,False,False
810,124,MEX,False,True,False,False
811,124,MHL,False,True,False,False
