case_id,BERT_topic_1. Summary of the impact,BERT_proba_1. Summary of the impact,BERT_topic_2. Underpinning research,BERT_proba_2. Underpinning research,BERT_topic_4. Details of the impact,BERT_proba_4. Details of the impact,BERT_topic_full,BERT_proba_full
b257ceca-c133-4bb7-9a5c-394f1223ed10,9,0.0641100511911947,0,0.04518801833312773,0,0.20129300718657375,-1,0.10117576863617815
5c6ed1f9-399e-4a8e-817e-f54ddca594db,-1,0.02569454871405038,-1,0.012488316990593072,-1,0.07549618822802474,-1,0.044514714419048335
034093db-799d-4994-a26f-ed4391bdce3a,-1,0.018285094614582408,118,1.0,-1,0.015942641902097186,14,0.01704747522496835
54a26ffe-7a12-4e66-bb68-a1f2e35ae05e,-1,0.024982412815406016,-1,0.019580583677216382,-1,0.008333998662790849,16,0.1371407988822379
32b3fc45-7b52-453a-9e87-174be984ef7b,3,0.16796752800200665,1,0.5461393155681811,6,0.1784701889269483,1,0.48128038479223206
3cde462c-74cb-44c7-b60b-73ab3139d955,-1,0.07286451872848798,-1,0.01205344409814572,-1,0.06696634000376363,-1,0.0040975383273182215
bfc8c081-b972-485d-a9d3-6eab0cefd6ca,-1,0.02396920303658423,-1,0.03457135571255871,-1,0.006327885912176398,-1,0.17218868504542245
a1483589-8654-4882-9c20-fd7ea428b399,-1,0.008036005422186986,66,0.08801394789256402,22,0.1387380212752385,62,0.09704412816847358
d2ae9358-f1ca-4fdb-9db2-f67e923f0fc2,34,1.0,5,0.013054693887968606,-1,0.014444689116344368,-1,0.03003954620175153
cbb82082-5a2c-40be-a26d-059a483573d2,-1,0.010624677092992842,-1,0.017439527751298384,68,0.1495158068351177,14,0.031654205193090756
50651d08-7946-4aac-b25e-523707b728d6,39,0.20571197472839792,27,1.0,-1,0.003285462944353714,-1,0.05309498188262934
adc2f565-f3f3-4eed-8374-13a2f1132ec0,-1,0.016117590450097204,32,0.15214657821466612,61,1.0,-1,0.0048824019143905995
2c7280d1-899c-449b-9667-07c9f58d512a,-1,0.030712179171101445,117,1.0,-1,0.034126115614414546,122,1.0
4847f97b-9913-4ebb-82ec-1cdd8f6ea6ea,27,0.053073893419196744,25,0.3862417950426845,25,0.3134776145974557,37,0.4919068912364637
defb2569-8a65-45e6-8852-b3ef6b857db1,-1,0.030355763116330745,28,0.0664016635269652,-1,0.0033018098711406164,-1,0.05332705625448686
83bbd8a0-1ea8-48b1-8668-78b5115afe46,-1,0.03027782678296701,2,0.1429843501996507,3,0.21704513248026763,5,0.05512006785158247
adcff1c6-5631-426f-88d9-c53239752e4c,-1,0.10209788712531231,-1,0.018942429442618914,56,0.022614552537110262,38,0.01382659087724844
e5fe80d2-1622-4109-8816-cd4ea9c8996e,37,0.016078379557478262,-1,0.062338461610228206,103,1.0,7,0.01638897557074388
78814c74-a20a-4998-adbe-27cdeb2d4b0a,34,0.1643160805861587,39,0.2784295994819508,102,1.0,125,1.0
7b9846d5-68b5-45ff-a961-f46a7040c047,78,0.004805741209098077,-1,0.004487014056441571,-1,0.01992780624120269,0,0.08295734671819635
45f72870-cc98-4631-876e-56688e26c7b2,-1,0.07149808437136843,41,0.037036126864142406,-1,0.027983278573504168,62,0.19424394142567428
407180c5-2c92-4c3b-9a4b-63b0eaefd871,-1,0.014635881911653902,22,0.01757862348740482,-1,0.0011908480426979996,25,0.0029662188048483165
6ee45471-fb24-4d7d-a678-779fa2b16760,-1,0.009324181482602084,-1,0.11812840836398017,95,1.0,-1,0.03539592479681444
94926fc6-279c-4956-aad2-c5081bb564f4,28,0.045688982278195026,-1,0.04512959445840178,4,0.17955913265174533,2,0.14864143149991013
387247a9-632a-4eb5-8f10-0d70f5761d2f,34,1.0,28,0.06232655858773512,-1,0.020597702065743382,56,1.0
bd1ae131-2066-4d0e-bb5c-10da8da9accc,101,1.0,75,0.28139614744517066,-1,0.09711003959463936,-1,0.014570313449316485
8a33d50d-b4a7-4cae-8e08-9858822e608a,1,0.1610704742557765,-1,0.06780728919367698,2,0.06182825857804234,-1,0.006653159936010939
176d8575-398b-4ae2-8bdf-ac0e12c79021,16,0.018987881188627626,-1,0.02280979917919666,-1,0.04858800685893375,123,1.0
6f279a0d-d2f4-49c7-83f1-3c245f25efdc,8,0.027860211356447707,7,0.020410777221046093,9,0.07619941878806864,10,0.05544935507375963
67fc5803-a446-4f9a-802a-01c4bd11d3ec,77,1.0,-1,0.07478659685470214,-1,0.06403788801500539,43,0.05392911549006854
00012743-f42d-4f84-85cb-50340db92428,3,0.40329646998257185,1,0.13543015601711758,6,0.427716972312995,1,0.2492686625047505
a210df71-70c3-4a6e-93b4-4320437e3ece,9,1.0,0,0.5166530153090224,0,0.294162045306797,4,1.0
d87b067b-405a-4de2-9628-43c634c31070,11,0.4451407493055122,4,0.05390148614024639,-1,0.07551077590739906,44,1.0
ab0b8736-a30c-4aa6-82d9-82a7acb58648,9,0.0686616996006667,0,0.1426339621077947,0,0.09698333671832352,4,0.05590418010079459
9bdfb437-22f1-4134-9104-aca3e007fde3,4,0.1059139478146844,5,0.18221958142602915,23,1.0,8,0.10353519596291337
4eec3a35-0a47-4c02-90e5-b62e7da95141,-1,0.14264694008271214,-1,0.031847788122257734,-1,0.06278599465656264,-1,0.0030975147289027615
