,ics_table_id,funder,id
5250,5250,British Council and Higher Education Commission of Pakistan,9821
5797,5797,British Council for the Prevention of Blindness,10812
2423,2423,British Council/Calouste Gulbenkian/Quercus Ensemble,4415
5,5,British Deer Society,15
4734,4734,British Ecological Society,8941
4873,4873,British Educational Research Association,9191
5177,5177,British Energy,9710
592,592,British Film Institute,1148
777,777,British Foreign and Commonwealth Office (FCO),1453
5085,5085,British Gas,9550
1707,1707,British Geological Survey,3145
117,117,British Heart Foundation,213
959,959,British Herpetological Society,1755
3393,3393,British High Commission,6395
2446,2446,British Horse Racing Authority,4468
4558,4558,British Infection Association,8647
2351,2351,British Institute at Ankara,4254
1446,1446,British Institute at Ankara (BIAA),2611
1167,1167,British Institute for the Study of Iraq,2104
6337,6337,British Inter-University China Centre,11899
4124,4124,British Library,7787
3441,3441,British Liver Trust,6511
495,495,British Lung Foundation,967
5753,5753,British Maternal Fetal Medicine Society,10696
3256,3256,British Medical Association [GBR],6158
2698,2698,British Museum,5041
5367,5367,British Occupational Health Research Foundation,10055
271,271,British Orthopaedic Association,535
3406,3406,British Oxygen Company,6427
4017,4017,British Petroleum,7542
6297,6297,British Pig Executive,11824
878,878,British Psychological Society,1614
1719,1719,British Red Cross,3174
2905,2905,British Renal Society,5464
5960,5960,British Retinitis Pigmentosa Society,11136
5501,5501,British School of Archaeology in Iraq,10254
329,329,British Skin Foundation,651
5077,5077,British Small Animal Veterinary Association,9535
6025,6025,British Society Antimicrobial Chemotherapy,11304
2589,2589,British Society for Immunology,4786
527,527,British Society for Rheumatology,1030
5411,5411,British Society of Aesthetics,10121
2786,2786,British Society of Animal Science,5210
437,437,British Society of Soil Science,852
3385,3385,British Standards Institution,6382
5333,5333,British Swimming,9988
3875,3875,British Telecom,7244
2703,2703,British Telecommunications,5047
2663,2663,British Tinnitus Association,4974
299,299,British Triathlon,587
299,299,British Triathlon Federation,588
5319,5319,British Veterinary Association,9956
4591,4591,British renal society,8727
736,736,Broadcasting Authority of Ireland,1391
1477,1477,Broderick Bozimo and Company Law Firm,2679
1341,1341,Brother International Europe,2399
2845,2845,Bruce Power,5323
5704,5704,Brunel Pension Partnership,10585
2696,2696,Buehler AG,5035
5844,5844,Building Research Establishment,10918
819,819,Bupa Foundation,1528
2776,2776,Burdett Trust,5188
2493,2493,Burdett Trust for Nursing,4612
1200,1200,Bureau Veritas,2150
2452,2452,Bury Council,4488
2562,2562,Business Finland,4736
1714,1714,"Business in the Community, NI",3163
5885,5885,Butterfly Conservation 2015,10996
5825,5825,Bòrd na Gàidhlig,10869
2396,2396,CDS Cooperatives,4345
2477,2477,CEC Leonardo da Vinci,4552
3962,3962,CEMAG Care,7427
4147,4147,CENSIS,7838
1847,1847,CENSIS Innovation Centre,3390
86,86,CET Pinggao Group [CHN],159
2605,2605,CEVA Animal Health,4834
3107,3107,CFA Society of the UK,5900
3013,3013,CGIAR,5702
5566,5566,CHA Invited Guest Fund,10337
4992,4992,CILEx Regulation,9349
2419,2419,CIMA General Charitable Trust Fund,4394
1448,1448,CISCO,2617
1424,1424,CODEXIS,2572
3780,3780,COFUND [EU],7088
1000,1000,CP Charitable Trust,1838
729,729,CSL Behring GmbH,1379
5784,5784,CVQO,10773
167,167,CWU Ireland,317
3662,3662,Cactus Communications Service,6880
3393,3393,Cactus Industrial,6400
1687,1687,Cadw,3083
330,330,Cairns Charitable Trust,655
189,189,Caja Madrid Foundation,360
1673,1673,Calcivis,3052
4971,4971,Calderdale Council,9318
3400,3400,California Institute of Technology,6416
2262,2262,Calouste Gulbenkian Foundation,4085
3567,3567,Cambrensis,6692
983,983,Cambridge Clinical Laboratories,1809
6052,6052,Cambridge Infectious Diseases Consortium,11355
800,800,Cambridge Real Estate Research Centre,1499
138,138,Cambridge Technology and Trust Initiative,250
1372,1372,Cambridge Templeton Consortium,2458
3121,3121,Cambridge Weight Plan,5945
3234,3234,Cambridge and Peterborough Combined Authority,6129
779,779,Camelot Plc,1458
5283,5283,Campaign to End Loneliness,9875
5286,5286,Campaign to Protect Rural England,9886
3050,3050,Canada-UK Foundation,5785
339,339,Canadian Institutes for Health Research,671
1977,1977,Canadian Institutes of Health Research,3598
1620,1620,Canadian Social Sciences and Humanities Research Council,2945
2075,2075,Canadian Socian Science and History Research Council,3753
5924,5924,Cancer Council Australia,11070
435,435,Cancer Research UK,846
435,435,Cancer Research UK (Catalyst Award),848
83,83,Cancer Research UK [GBR],155
4465,4465,Cancer Research Wales,8426
2812,2812,Candlelighters,5264
179,179,Cantervale,339
1885,1885,Cape Hill Medical Centre,3449
557,557,Carbon Trust,1106
4192,4192,Carbon Trust Offshore Wind Accelerator,7948
2434,2434,Cardiac Risk in the Young,4433
3429,3429,Cardiac Trust,6479
751,751,Care Council Wales,1409
1318,1318,Careers and Enterprise Company,2354
559,559,Cargill,1110
2864,2864,Carlton Hayes Mental Health Charity,5364
1635,1635,Carnegie Collaborative Research Grant,2985
