id,ics_table_id,country
1093,178,LTU
1094,178,LUX
1095,178,MLT
1096,178,NLD
1097,178,POL
1098,178,PRT
1099,178,ROU
1100,178,SVK
1101,178,SVN
1102,178,ESP
1103,178,SWE
1104,179,GBR
1105,180,GBR
1106,180,JPN
1107,180,DNK
1108,180,IND
1109,180,DEU
1110,180,ARG
1111,181,SRB
1112,181,TJK
1113,181,ARM
1114,181,MDA
1115,182,GBR
1116,182,JPN
1117,182,AUS
1118,182,CAN
1119,182,CHE
1120,186,GBR
1121,186,IRL
1122,187,ARG
1123,187,AUS
1124,187,AUT
1125,187,BEL
1126,187,CAN
1127,187,CZE
1128,187,GBR
1129,187,FRA
1130,187,DEU
1131,187,GRC
1132,187,GGY
1133,187,IND
1134,187,IRL
1135,187,IMN
1136,187,ITA
1137,187,JEY
1138,187,JOR
1139,187,MEX
1140,187,MNE
1141,187,NLD
1142,187,POL
1143,187,RUS
1144,187,SVN
1145,188,GBR
1146,188,CHN
1147,188,USA
1148,190,GBR
1149,190,USA
1150,191,GBR
1151,191,AUT
1152,191,BEL
1153,191,BGR
1154,191,HRV
1155,191,CYP
1156,191,CZE
1157,191,DNK
1158,191,EST
1159,191,FIN
1160,191,FRA
1161,191,DEU
1162,191,GRC
1163,191,HUN
1164,191,IRL
1165,191,ITA
1166,191,LVA
1167,191,LTU
1168,191,LUX
1169,191,MLT
1170,191,NLD
1171,191,POL
1172,191,PRT
1173,191,ROU
1174,191,SVK
1175,191,SVN
1176,191,ESP
1177,191,SWE
1178,191,USA
1179,191,CHN
1180,194,GBR
1181,195,NZL
1182,195,GBR
1183,195,NOR
1184,195,AUT
1185,195,BEL
1186,195,BGR
1187,195,HRV
1188,195,CYP
1189,195,CZE
1190,195,DNK
1191,195,EST
1192,195,FIN
1193,195,FRA
1194,195,DEU
1195,195,GRC
1196,195,HUN
1197,195,IRL
1198,195,ITA
1199,195,LVA
1200,195,LTU
1201,195,LUX
1202,195,MLT
1203,195,NLD
1204,195,POL
1205,195,PRT
1206,195,ROU
1207,195,SVK
1208,195,SVN
1209,195,ESP
1210,195,SWE
1211,196,GBR
1212,196,USA
1213,196,AUT
1214,196,BEL
